threshold,flops,non_zero_params,params_reduction_pct,flops_reduction_pct,overall_accuracy,overall_f1,overall_precision,overall_recall,ham_accuracy,ham_f1,ham_precision,ham_recall,spam_accuracy,spam_f1,spam_precision,spam_recall
0.0,11173556562.70769,124646397,0.0,0.0,0.995,0.994999954999595,0.9950178206415431,0.995,0.998,0.9950149551345963,0.9920477137176938,0.998,0.992,0.9949849548645938,0.9979879275653923,0.992
0.1,11032568916.201723,123073612,1.2617974027761103,1.2617974027761214,0.995,0.994999954999595,0.9950178206415431,0.995,0.998,0.9950149551345963,0.9920477137176938,0.998,0.992,0.9949849548645938,0.9979879275653923,0.992
0.2,10891643212.341278,121501518,2.523040437342128,2.523040437342139,0.996,0.9959999839999361,0.996007936126978,0.996,0.998,0.9960079840319361,0.9940239043824701,0.998,0.994,0.9959919839679359,0.9979919678714859,0.994
0.30000000000000004,10751254105.69659,119935410,3.7794810868059026,3.7794810868059248,0.995,0.994999954999595,0.9950178206415431,0.995,0.998,0.9950149551345963,0.9920477137176938,0.998,0.992,0.9949849548645938,0.9979879275653923,0.992
0.4,10610932678.787603,118370057,5.0353160228129195,5.03531602281293,0.995,0.994999954999595,0.9950178206415431,0.995,0.998,0.9950149551345963,0.9920477137176938,0.998,0.992,0.9949849548645938,0.9979879275653923,0.992
0.5,10471793182.09742,116817889,6.2805730357372465,6.280573035737258,0.996,0.9959999839999361,0.996007936126978,0.996,0.998,0.9960079840319361,0.9940239043824701,0.998,0.994,0.9959919839679359,0.9979919678714859,0.994
0.6000000000000001,10332552300.266737,115264590,7.526737415442497,7.526737415442519,0.996,0.9959999839999361,0.996007936126978,0.996,0.998,0.9960079840319361,0.9940239043824701,0.998,0.994,0.9959919839679359,0.9979919678714859,0.994
0.7000000000000001,10193573711.027653,113714217,8.770554354651738,8.770554354651761,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996
0.8,10056237632.778265,112182167,9.99967131019439,9.999671310194403,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996
0.9,9921062555.043453,110674224,11.209447955402997,11.209447955403007,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996
1.0,9786935661.61266,109177974,12.409843663591813,12.409843663591836,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996
1.1,9652751486.922115,107681085,13.610752021977824,13.610752021977834,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996
1.2000000000000002,9518730998.585726,106186022,14.810195436294881,14.810195436294904,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996
1.3,9384945641.30462,104693582,16.007534497768116,16.007534497768127,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996
1.4000000000000001,9252090051.20057,103211514,17.196552420203524,17.19655242020354,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996
1.5,9122324780.577974,101763920,18.35791290461448,18.357912904614494,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996
1.6,8994783349.53582,100341134,19.49937068778651,19.49937068778651,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996
1.7000000000000002,8869783987.29494,98946706,20.618077713068594,20.618077713068605,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996
1.8,8746926800.741491,97576175,21.717612904607265,21.717612904607275,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996
1.9000000000000001,8625637991.215588,96223140,22.8031115893386,22.80311158933861,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996
2.0,8504858527.727093,94875787,23.884051778889372,23.884051778889383,0.995,0.994999954999595,0.9950178206415431,0.995,0.992,0.9949849548645938,0.9979879275653923,0.992,0.998,0.9950149551345963,0.9920477137176938,0.998
2.1,8384962038.273883,93538284,24.957089614070437,24.957089614070437,0.992,0.9919997119896315,0.9920708582035813,0.992,0.986,0.9919517102615694,0.9979757085020243,0.986,0.998,0.9920477137176938,0.9861660079051383,0.998
2.2,8265813701.23676,92209127,26.023431708178457,26.023431708178467,0.995,0.994999954999595,0.9950178206415431,0.995,0.992,0.9949849548645938,0.9979879275653923,0.992,0.998,0.9950149551345963,0.9920477137176938,0.998
2.3000000000000003,8147686835.177513,90891365,27.080631941571486,27.080631941571486,0.994,0.9939999039984639,0.9940316180235534,0.994,0.99,0.9939759036144579,0.9979838709677419,0.99,0.998,0.9940239043824701,0.9900793650793651,0.998
2.4000000000000004,8030125520.711018,89579912,28.132770656820504,28.132770656820515,0.991,0.9909992709409462,0.9911591355599214,0.991,0.982,0.9909182643794148,1.0,0.982,1.0,0.9910802775024777,0.9823182711198428,1.0
2.5,7913470307.924587,88278567,29.17680003217421,29.17680003217422,0.991,0.9909992709409462,0.9911591355599214,0.991,0.982,0.9909182643794148,1.0,0.982,1.0,0.9910802775024777,0.9823182711198428,1.0
2.6,7797706585.166675,86987167,30.212850837557703,30.212850837557713,0.985,0.9849966242404541,0.9854368932038835,0.985,0.97,0.9847715736040609,1.0,0.97,1.0,0.9852216748768473,0.970873786407767,1.0
2.7,7683266247.757278,85710530,31.2370577386204,31.23705773862041,0.984,0.9839959029511556,0.9844961240310077,0.984,0.968,0.983739837398374,1.0,0.968,1.0,0.984251968503937,0.9689922480620154,1.0
2.8000000000000003,7570492893.612873,84452489,32.24634563644868,32.24634563644868,0.981,0.9809931385230068,0.9816955684007708,0.981,0.962,0.9806320081549439,1.0,0.962,1.0,0.9813542688910697,0.9633911368015414,1.0
2.9000000000000004,7460708832.3775625,83227795,33.228880253955516,33.228880253955516,0.974,0.9739824121105867,0.9752851711026616,0.974,0.948,0.973305954825462,1.0,0.948,1.0,0.9746588693957114,0.9505703422053232,1.0
3.0,7354593640.311399,82044029,34.178579586219406,34.17857958621941,0.974,0.9739824121105867,0.9752851711026616,0.974,0.948,0.973305954825462,1.0,0.948,1.0,0.9746588693957114,0.9505703422053232,1.0
